gdp,c,investment,fixed_i,nonresidential,structures,equipment,intellectual,residential
81.637,79.926,86.362,90.296,76.802,121.419,68.310,65.423,149.200
82.114,80.115,86.485,89.236,75.213,122.170,65.474,65.089,151.513
81.773,80.389,84.614,88.595,74.323,123.147,63.771,64.827,152.457
81.996,81.591,80.423,86.574,72.188,111.543,63.510,63.858,151.479
82.713,81.841,82.796,85.827,70.457,105.735,62.032,63.636,156.445
83.214,82.261,84.156,85.733,69.662,99.999,61.731,64.294,160.326
83.584,82.857,84.032,85.608,69.436,95.307,62.322,64.749,160.796
83.713,83.333,83.980,85.248,68.501,94.048,61.134,64.453,163.688
84.178,83.725,84.626,86.022,68.841,93.462,61.357,65.413,166.703
84.902,84.666,85.210,88.090,70.745,95.989,63.774,66.053,169.359
86.344,85.908,88.315,90.950,72.245,95.651,65.858,67.382,179.065
87.335,86.490,91.290,92.602,73.153,95.849,67.016,68.173,184.395
87.801,87.260,91.471,92.350,72.430,93.931,66.158,68.300,186.538
88.470,87.803,95.125,94.873,74.241,94.541,68.981,68.954,192.453
89.307,88.774,96.601,96.890,76.363,96.099,71.374,70.817,193.825
90.201,89.739,98.616,98.656,77.931,96.167,73.563,72.088,196.499
91.200,90.263,101.389,100.386,79.062,97.471,74.235,73.834,201.138
91.621,91.287,100.040,102.088,80.340,97.071,76.085,75.064,204.852
92.437,92.173,101.362,103.873,82.015,96.650,78.850,76.117,207.097
93.021,92.447,104.657,104.339,82.649,97.648,79.943,75.793,206.690
94.258,93.477,106.211,106.300,85.421,101.299,83.496,76.734,204.754
94.479,93.951,105.526,105.726,86.915,104.433,84.453,78.059,194.509
94.625,94.521,105.119,105.047,88.405,106.404,85.137,80.528,183.740
95.431,95.436,103.079,104.302,89.342,106.442,85.590,82.827,175.191
95.655,95.970,102.370,104.217,90.951,110.419,86.782,83.530,167.297
96.203,96.148,103.499,104.707,92.969,116.553,87.988,84.093,160.705
96.726,96.690,102.455,104.110,94.428,122.145,88.437,84.383,150.490
97.314,96.965,101.194,103.111,95.884,125.272,88.961,86.167,137.977
96.755,96.708,98.531,101.513,96.265,125.832,88.470,87.775,127.000
97.254,96.864,96.745,100.681,96.460,127.916,87.404,88.631,121.247
96.728,96.139,94.805,98.136,94.659,127.140,84.657,87.599,115.096
94.635,95.244,85.685,91.657,89.147,124.208,74.807,86.977,103.894
93.572,95.029,75.783,84.370,82.431,114.985,66.468,84.601,93.819
93.438,94.644,71.414,81.311,79.923,106.156,63.840,86.722,88.052
93.778,95.297,71.251,81.612,79.457,98.933,65.460,87.611,92.143
94.808,95.156,77.839,82.021,79.987,90.553,68.489,90.274,91.952
95.173,95.627,79.610,81.982,80.545,84.497,73.330,88.751,88.987
96.050,96.387,83.788,84.965,83.187,86.927,78.108,88.309,93.610
96.758,97.061,87.524,85.422,85.439,85.666,82.315,90.021,85.315
97.244,97.703,87.246,87.041,87.100,87.302,83.984,91.707,86.726
97.010,98.119,85.601,86.891,86.982,80.892,86.063,92.639,86.433
97.704,98.336,89.103,88.922,89.230,86.511,87.253,94.156,87.413
97.677,98.721,89.398,92.658,93.409,91.650,92.501,96.065,88.988
98.809,98.901,96.288,95.029,95.794,94.805,94.636,98.266,91.296
99.583,99.696,98.299,97.995,98.241,99.291,97.583,98.470,96.819
100.011,99.843,100.562,99.972,100.448,101.654,100.337,99.729,97.649
100.146,100.006,101.019,100.119,100.111,100.496,100.044,99.921,100.157
100.260,100.455,100.120,101.914,101.200,98.558,102.037,101.880,105.375
101.148,100.976,103.853,103.661,102.507,96.388,103.838,105.017,109.200
101.273,101.048,105.015,104.499,102.784,99.235,103.615,104.155,112.682
102.066,101.459,109.078,106.302,104.539,104.241,103.623,106.118,114.698
102.881,102.333,109.474,107.741,106.679,105.160,107.571,106.471,112.896
102.590,102.737,108.259,108.823,108.174,108.856,108.492,107.132,112.107
103.979,103.861,112.828,111.849,111.080,112.704,111.202,109.585,115.697
105.248,104.979,115.136,113.989,113.324,113.082,114.603,111.551,117.388
105.841,106.252,115.261,115.316,114.017,114.919,113.574,113.864,121.558
106.845,107.191,119.282,115.642,113.880,113.688,114.504,113.021,123.950
107.568,108.045,119.641,116.637,114.400,114.529,114.942,113.405,127.055
107.958,108.943,119.399,117.613,114.815,110.925,116.765,114.932,130.481
108.131,109.526,117.963,117.300,113.893,106.490,115.273,117.630,132.780
108.744,110.369,117.244,117.888,113.568,102.585,114.557,120.744,137.255
109.083,111.075,116.221,118.329,114.241,104.483,113.333,123.222,136.690
109.677,111.790,116.261,119.262,115.570,108.583,112.929,124.857,135.960
110.367,112.476,119.390,120.063,115.994,110.225,112.744,125.177,138.332
110.991,113.359,119.019,122.152,117.658,112.328,114.043,126.985,142.214
111.465,113.867,120.115,122.631,118.352,112.135,115.466,127.319,141.832
112.278,114.516,122.341,122.999,118.963,108.942,117.209,129.385,141.220
113.351,115.690,124.219,125.826,121.613,110.212,121.149,131.293,144.787
114.407,116.274,127.490,128.412,125.159,115.729,124.089,134.101,143.587
115.172,117.183,127.139,129.798,127.065,117.148,124.840,138.055,142.961
115.777,117.954,130.272,130.053,127.893,115.383,126.698,139.538,140.996
116.157,118.412,131.526,130.901,129.459,111.567,129.630,143.589,139.113
116.999,118.955,132.786,131.825,130.789,113.787,130.270,145.177,138.513
117.433,120.042,130.827,131.681,130.801,114.249,129.002,146.645,137.777
118.181,120.846,131.427,132.480,131.406,115.251,128.458,148.550,139.334
118.874,121.322,130.192,132.802,131.293,113.704,127.919,150.247,141.319
117.373,119.184,127.165,132.341,129.043,112.635,122.744,151.146,147.593
106.825,107.754,108.698,121.399,119.212,101.681,109.834,146.643,132.234
114.815,117.425,127.000,129.962,125.512,96.924,125.086,149.628,149.411
115.949,118.152,134.371,135.571,129.628,97.644,132.234,152.349,160.616
