"DATE","GDP87","USAPGDP","PCOM","FF","NBR","TOTR","M1","M2","MB"
"1969:04",796.384273523525,-107.751540366673,0.463333333333333,8.94,946.684132694439,955.260532219826,531.550219130214,637.45704292716,1102.09815652964
"1970:01",796.130046428094,-106.389859737829,0.193333333333333,8.57333333333333,948.087628559299,955.291301086709,532.625673523728,637.961393300646,1103.45024923117
"1970:02",795.840206335537,-104.685398613454,-0.273333333333333,7.88,948.799736078088,955.378822233382,533.336270829084,638.637414127663,1104.99318745552
"1970:03",797.07403900071,-104.044114659006,-0.61,6.70333333333333,950.029486053363,956.773505683927,534.663122682659,640.737491307769,1106.27558350776
"1970:04",796.321647399426,-102.940366069284,-0.416666666666667,5.56666666666667,955.385915186536,958.208781954563,536.441716825256,643.401133012068,1107.64339782569
"1971:01",798.613084614881,-101.090385205166,-0.253333333333333,3.85666666666667,957.514550947455,959.834277968935,538.097204467023,646.562618650238,1109.72079803977
"1971:02",798.759241232391,-99.5312178272088,0.173333333333333,4.56333333333333,959.032811521199,961.13064858813,540.192634916706,650.433807249127,1111.60434167925
"1971:03",799.372127261592,-98.30484596271,0.403333333333333,5.47333333333333,958.44294721687,963.207245254822,541.905898424417,653.340116589903,1113.37029870664
"1971:04",799.877212852841,-97.5636698506206,0.563333333333333,4.75,961.184208062742,963.097867167659,542.832171311862,656.055907899795,1113.9951748062
"1972:01",801.872424185962,-96.1773396515628,0.77,3.54,963.908788470657,964.23824949348,544.774261336796,659.007208425751,1116.119541771
"1972:02",803.582927779987,-95.2022055037369,1.42333333333333,4.3,965.867338031152,966.563214393938,546.383180502561,661.561885618098,1117.68604787447
"1972:03",804.744552940809,-94.2726416895131,1.32333333333333,4.74,965.243737505219,967.710960954525,548.452027004996,664.863906720911,1119.26283692319
"1972:04",806.322037924303,-92.6896292301618,0.996666666666667,5.14333333333333,966.067261531321,970.664101712561,550.88483798114,668.106377445224,1121.71260917498
"1973:01",808.74251447849,-91.3926700869736,1.46,6.53666666666667,963.270629771452,972.804229968161,552.837032616318,670.527183036423,1124.1763951262
"1973:02",809.181104946771,-89.5499080623135,1.78666666666667,7.81666666666667,961.030147189402,972.41415643437,554.034809358073,672.174693433019,1125.67291395977
"1973:03",809.080062362508,-87.6737808067993,1.90333333333333,10.56,960.761648605526,973.149249345948,555.192545866607,673.712511077777,1127.56322780516
"1973:04",809.836925010508,-85.3284958781752,2.32,9.99666666666667,965.44277235921,973.945767821434,556.426494685381,675.071152937245,1129.69437066836
"1974:01",808.929840834189,-83.7315330722776,2.69666666666667,9.32333333333333,967.875941309168,975.029752224842,558.073560932472,676.937404965055,1131.86365845601
"1974:02",809.181104946771,-81.6569480335195,1.48666666666667,11.25,965.158009130308,976.207758624859,558.999146026935,678.181405562429,1134.23269243198
"1974:03",808.30507924212,-78.6840934164309,0.0733333333333333,12.09,965.797057224503,976.541251986173,559.903905250762,679.286804643778,1136.12882903073
"1974:04",807.912224355916,-76.2706965572338,-1.66,9.34666666666667,970.812128222137,976.713313129431,561.117973753012,680.764024097916,1137.40119958731
